gender,height,weight,ap_hi,ap_lo,cholesterol,gluc,smoke,alco,active,age_years,BMI,BP Category
0.0012142857142857233,0.0011428571428571122,0.0009285714285715008,0.1427857142857143,-0.0002142857142857224,0.036285714285714255,-7.142857142850012e-05,0.002142857142857113,0.000500000000000056,0.0022857142857143353,0.027071428571428635,0.00028571428571433355,-0.0002142857142857224
0.0019285714285715017,0.0002142857142857224,0.0017142857142857792,0.14121428571428574,0.0011428571428571122,0.03228571428571425,0.0004285714285714448,0.002071428571428613,-0.00014285714285711126,0.0040000000000000036,0.028214285714285747,0.0019285714285715017,0.00035714285714283367
0.0018571428571428905,-7.142857142850012e-05,0.0022857142857143353,0.15307142857142864,0.0018571428571428905,0.031571428571428584,0.0007142857142857784,0.002071428571428613,0.00028571428571433355,0.003928571428571392,0.026857142857142913,0.002142857142857113,-0.0008571428571428896
0.000500000000000056,0.0012857142857143344,0.0,0.14550000000000007,0.0035000000000000586,0.035499999999999976,0.0010000000000000009,0.0012142857142857233,0.00035714285714283367,0.004285714285714337,0.028642857142857192,0.0012857142857143344,0.0004285714285714448
0.0017142857142857792,-7.142857142850012e-05,0.0011428571428571122,0.14500000000000002,0.0038571428571428923,0.03228571428571425,0.0010000000000000009,0.0010000000000000009,0.000500000000000056,0.0022857142857143353,0.02385714285714291,0.0007857142857142785,0.00014285714285711126
0.0018571428571428905,0.001071428571428612,0.0035714285714285587,0.1486428571428572,0.00271428571428578,0.033571428571428585,0.0008571428571428896,0.001071428571428612,0.0004285714285714448,0.002642857142857169,0.032571428571428584,0.002142857142857113,0.000500000000000056
0.0012857142857143344,0.00028571428571433355,0.001071428571428612,0.1397857142857143,0.003142857142857114,0.030714285714285694,0.00028571428571433355,0.0012142857142857233,0.00014285714285711126,0.0025000000000000577,0.02828571428571436,0.0018571428571428905,0.0
0.0009285714285715008,0.0004285714285714448,0.002214285714285724,0.14514285714285713,0.0013571428571428346,0.035499999999999976,0.0005714285714285561,0.0017857142857142794,-0.0004999999999999449,0.0030000000000000027,0.025071428571428633,0.0017857142857142794,-0.0004999999999999449
0.0015000000000000568,0.0014285714285714457,0.00364285714285717,0.14835714285714285,0.002642857142857169,0.030785714285714305,0.000500000000000056,0.0024285714285714466,0.0006428571428571672,0.0040000000000000036,0.02828571428571436,0.0012857142857143344,-7.142857142850012e-05
0.0007857142857142785,0.0007142857142857784,0.000500000000000056,0.14550000000000007,0.004071428571428615,0.034571428571428586,0.0005714285714285561,0.0022857142857143353,0.0005714285714285561,0.0027857142857142803,0.03042857142857147,0.002142857142857113,-0.0002142857142857224
